[TRACE][2020/08/03 15:43:33:534][/mnt/c/users/chris/onedrive/desktop/summerofbrain/Testing/RunTests.cpp:27] Starting Tests
[DEBUG][2020/08/03 15:43:33:540][/mnt/c/users/chris/onedrive/desktop/summerofbrain/Simulation/Core/OperationManager.cpp:43] Executing operation deallocateMemory
[DEBUG][2020/08/03 15:43:33:541][/mnt/c/users/chris/onedrive/desktop/summerofbrain/Simulation/Core/OperationManager.cpp:43] Executing operation copyToGPU
[DEBUG][2020/09/03 12:23:25:713][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 12:32:31:148][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation deallocateMemory
[DEBUG][2020/09/03 12:32:31:152][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation copyToGPU
[DEBUG][2020/09/03 12:32:52:500][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 12:38:04:853][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 12:40:48:707][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 12:44:40:176][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation deallocateMemory
[DEBUG][2020/09/03 12:44:40:180][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation copyToGPU
[DEBUG][2020/09/03 12:45:29:028][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation deallocateMemory
[DEBUG][2020/09/03 12:45:29:032][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation copyToGPU
[DEBUG][2020/09/03 12:45:34:651][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 12:45:59:914][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation deallocateMemory
[DEBUG][2020/09/03 12:45:59:918][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation copyToGPU
[DEBUG][2020/09/03 12:46:08:577][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 12:50:46:918][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 12:58:21:226][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation deallocateMemory
[DEBUG][2020/09/03 12:58:21:230][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation copyToGPU
[DEBUG][2020/09/03 12:58:27:200][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 13:00:36:034][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 13:00:45:728][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/03 13:11:46:861][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/09 23:14:32:156][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/09 23:30:49:437][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/09 23:31:10:008][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
[DEBUG][2020/09/09 23:57:07:287][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation deallocateMemory
[DEBUG][2020/09/09 23:57:07:291][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation copyToGPU
[DEBUG][2020/09/09 23:57:13:168][/home/NETID/singh97/SummerOfBrain/SummerOfBrain/Simulation/Core/OperationManager.cpp:43] Executing operation loadParameters
