[TRACE][2021/12/06 15:36:26:085][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Driver.cpp:87] Instantiating Simulator
[TRACE][2021/12/06 15:36:26:085][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Driver.cpp:91] Parsing command line
[TRACE][2021/12/06 15:36:26:086][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Driver.cpp:104] Loading Simulator parameters
[TRACE][2021/12/06 15:36:26:094][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Driver.cpp:108] Instantiating Simulator objects specified in configuration file
[TRACE][2021/12/06 15:36:26:097][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Driver.cpp:117] Loading parameters from configuration file
[TRACE][2021/12/06 15:36:26:104][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Driver.cpp:124] Performing Simulator setup
[TRACE][2021/12/06 15:36:31:570][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Driver.cpp:142] Starting Simulation
[TRACE][2021/12/06 15:36:31:571][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:148] Performing epoch number: 1
[TRACE][2021/12/06 15:36:31:571][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 0/999
[TRACE][2021/12/06 15:36:31:663][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 1/999
[TRACE][2021/12/06 15:36:31:750][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 2/999
[TRACE][2021/12/06 15:36:31:837][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 3/999
[TRACE][2021/12/06 15:36:31:924][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 4/999
[TRACE][2021/12/06 15:36:32:011][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 5/999
[TRACE][2021/12/06 15:36:32:097][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 6/999
[TRACE][2021/12/06 15:36:32:184][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 7/999
[TRACE][2021/12/06 15:36:32:270][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 8/999
[TRACE][2021/12/06 15:36:32:357][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 9/999
[TRACE][2021/12/06 15:36:32:443][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 10/999
[TRACE][2021/12/06 15:36:32:530][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 11/999
[TRACE][2021/12/06 15:36:32:616][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 12/999
[TRACE][2021/12/06 15:36:32:703][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 13/999
[TRACE][2021/12/06 15:36:32:789][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 14/999
[TRACE][2021/12/06 15:36:32:876][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 15/999
[TRACE][2021/12/06 15:36:32:962][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 16/999
[TRACE][2021/12/06 15:36:33:049][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 17/999
[TRACE][2021/12/06 15:36:33:136][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 18/999
[TRACE][2021/12/06 15:36:33:222][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 19/999
[TRACE][2021/12/06 15:36:33:308][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 20/999
[TRACE][2021/12/06 15:36:33:395][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 21/999
[TRACE][2021/12/06 15:36:33:482][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 22/999
[TRACE][2021/12/06 15:36:33:568][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 23/999
[TRACE][2021/12/06 15:36:33:655][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 24/999
[TRACE][2021/12/06 15:36:33:741][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 25/999
[TRACE][2021/12/06 15:36:33:828][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 26/999
[TRACE][2021/12/06 15:36:33:915][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 27/999
[TRACE][2021/12/06 15:36:34:001][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 28/999
[TRACE][2021/12/06 15:36:34:088][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 29/999
[TRACE][2021/12/06 15:36:34:174][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 30/999
[TRACE][2021/12/06 15:36:34:261][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 31/999
[TRACE][2021/12/06 15:36:34:347][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 32/999
[TRACE][2021/12/06 15:36:34:434][/home/NETID/rashwini/Graphitti_Repos2/Graphitti/Simulator/Core/Simulator.cpp:201] Epoch: 1/10 simulating time: 33/999
